"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s","Team"
"1","Shubman Gill",17,17,2,890,"129",59.33,564,157.8,3,4,1,85,33,"GT"
"2","F du Plessis",14,14,1,730,"84",56.15,475,153.68,0,8,0,60,36,"RCB"
"3","DP Conway",16,15,2,672,"92",51.69,481,139.7,0,6,1,77,18,"CSK"
"4","V Kohli",14,14,2,639,"101",53.25,457,139.82,2,6,1,65,16,"RCB"
"5","YBK Jaiswal",14,14,1,625,"124",48.07,382,163.61,1,5,1,82,26,"RR"
"6","SA Yadav",16,16,2,605,"103",43.21,334,181.13,1,5,1,65,28,"MI"
"7","RD Gaikwad",16,15,1,590,"92",42.14,400,147.5,0,4,0,46,30,"CSK"
"8","DA Warner",14,14,0,516,"86",36.85,392,131.63,0,6,2,69,10,"DC"
"9","RK Singh",14,14,6,474,"67",59.25,317,149.52,0,4,0,31,29,"KKR"
"10","Ishan Kishan",16,15,0,454,"75",30.26,318,142.76,0,3,0,54,18,"MI"
"11","C Green",16,16,7,452,"100",50.22,282,160.28,1,2,0,40,22,"MI"
"12","H Klaasen",12,11,2,448,"104",49.77,253,177.07,1,2,0,32,25,"SRH"
"13","S Dube",16,14,3,418,"52",38,264,158.33,0,3,0,12,35,"CSK"
"14","N Rana",14,14,1,413,"75",31.76,293,140.95,0,3,0,39,20,"KKR"
"15","MP Stoinis",15,15,2,408,"89",31.38,272,150,0,3,2,28,27,"LSG"
"16","VR Iyer",14,14,0,404,"104",28.85,277,145.84,1,2,1,32,21,"KKR"
"17","GJ Maxwell",14,14,2,400,"77",33.33,218,183.48,0,5,2,29,31,"RCB"
"18","JC Buttler",14,14,0,392,"95",28,282,139,0,4,5,42,14,"RR"
"19","KR Mayers",13,13,0,379,"73",29.15,263,144.1,0,4,2,38,22,"LSG"
"20","S Dhawan",11,11,2,373,"99",41.44,261,142.91,0,3,1,49,12,"PBKS"
"21","WP Saha",17,17,1,371,"81",23.18,287,129.26,0,2,2,47,8,"GT"
"22","B Sai Sudharsan",8,8,1,362,"96",51.71,256,141.4,0,3,0,33,12,"GT"
"23","SV Samson",14,14,2,362,"66",30.16,236,153.38,0,3,2,25,24,"RR"
"24","Prabhsimran Singh",14,14,0,358,"103",25.57,238,150.42,1,1,2,38,19,"PBKS"
"25","N Pooran",15,15,3,358,"62",29.83,207,172.94,0,2,2,26,26,"LSG"
"26","HH Pandya",16,15,4,346,"66",31.45,253,136.75,0,2,0,26,15,"GT"
"27","NT Tilak Varma",11,11,3,343,"84",42.87,209,164.11,0,1,0,26,23,"MI"
"28","RG Sharma",16,16,0,332,"65",20.75,250,132.8,0,2,2,35,17,"MI"
"29","AM Rahane",14,11,1,326,"71",32.6,189,172.48,0,2,0,24,16,"CSK"
